state,year,ndeath,nod,pod
AK,2015,50086,1472,0.029389450145749313
AK,2016,51141,1594,0.031168729590739328
AK,2017,51597,1571,0.03044750663798283
AK,2018,51865,1442,0.027802949966258556
AK,2019,53484,1544,0.02886844663824695
AK,2020,55824,1591,0.02850028661507595
AK,2021,65458,2416,0.0369091631275016
AK,2022,72494,2993,0.04128617540761994
AK,2023,65888,3576,0.054273919378339
AL,2015,607641,8818,0.014511858153087103
AL,2016,608611,8324,0.01367704494332176
AL,2017,623769,9551,0.015311758038632892
AL,2018,639981,9198,0.014372301677706057
AL,2019,634030,8643,0.013631847073482327
AL,2020,682214,10624,0.015572826122008637
AL,2021,813435,14096,0.017328981418306317
AL,2022,771898,16665,0.021589640081979743
AL,2023,703876,18637,0.026477675045036342
AR,2015,368117,4616,0.012539491520359016
AR,2016,366574,4513,0.012311293217740483
AR,2017,378076,4775,0.01262973582031126
AR,2018,385161,5286,0.013724130947837398
AR,2019,383804,4739,0.01234744817667351
AR,2020,407063,5325,0.01308151318100638
AR,2021,481974,6775,0.014056774846775966
AR,2022,471352,7482,0.01587348733006331
AR,2023,432078,6563,0.015189387101402987
AZ,2015,642297,14590,0.02271534819561667
AZ,2016,679217,16403,0.024149866684726677
AZ,2017,686329,17552,0.02557374087354607
AZ,2018,722039,19683,0.027260300343887243
AZ,2019,722289,21988,0.03044210835275077
AZ,2020,810438,28466,0.03512421678154282
AZ,2021,981083,32659,0.03328872276861387
AZ,2022,956786,32900,0.034385954643985174
AZ,2023,860315,33435,0.038863672027106354
CA,2015,3056952,56001,0.01831922777982775
CA,2016,3139581,57154,0.018204340005879765
CA,2017,3202053,58406,0.018240172789144964
CA,2018,3262105,63121,0.01934977568165341
CA,2019,3219523,70935,0.022032766965789652
CA,2020,3457384,92812,0.026844573816504038
CA,2021,4144959,128065,0.03089656616627571
CA,2022,3823573,138266,0.036161464682379546
CA,2023,3649630,146261,0.04007556930428564
CO,2015,441445,11091,0.025124307671397342
CO,2016,450894,11137,0.024699818582638047
CO,2017,461701,12046,0.026090478469832208
CO,2018,468890,12402,0.026449700356160292
CO,2019,474111,12262,0.02586314175372434
CO,2020,517752,16085,0.031066997326905547
CO,2021,578126,20889,0.036132261825276846
CO,2022,598465,22438,0.03749258519712932
CO,2023,554155,22734,0.0410246230747715
